id,hotness,familiarity,latitude,location,longitude,name,,,,
ARGUVEV1187B98BA17,0.392733676,0.501544777,,,,Sierra Maestra,,,,
ARPQ4Z01187FB3A736,0.488019842,0.809323793,29.42449,San Antonio TX,-98.49462,Butthole Surfers,,,,
ARNQAVF11F4C844C04,0.41168896,0.632559542,,,,Despina Vandi,,,,
ARXUT4W1187FB48BEB,0.382651971,0.597541218,,,,Javier Navarrete,,,,
ARDD1RC1187B9B52B4,0.294861262,0.495445922,,,,Jacob Young,,,,
ARLGWFM1187FB4AC9F,0.393121934,0.527865076,34.05349,California - LA,-118.24532,Scarlet's Remains,,,,
ARWYVP51187B98C516,0.467538444,0.668674533,42.33168,Detroit MI,-83.04792,The Suicide Machines,,,,
ARFCUN31187B9AD578,0.735765693,0.814829656,51.50632,London England,-0.12714,The Rolling Stones,,,,
AR6YDKV1187B989230,0.350078579,0.482356043,,,,Roberto Torres,,,,
ARV1JVD1187B9AD195,0.442765842,0.661080168,35.91463,Chapel Hill NC,-79.05661,Loudon Wainwright III,,,,
AR7TTS41187B9B42D3,0.466628889,0.701180874,34.36401,Oxford MS,-89.51877,R.L. Burnside,,,,
ART3O5Z1187B9AB043,0.544257506,0.73379894,32.77815,Dallas TX,-96.7954,Stevie Ray Vaughan,,,,
AR5U94U1187FB5CDCF,0.452817838,0.590692918,,,,John Hammond,,,,
ARRJNTE1187FB44E12,0.394217199,0.665322162,,,,Casiotone For The Painfully Alone,,,,
AR6IRG41187B9A4D98,0.33457736,0.50407567,52.51607,Berlin Germany,13.37698,Ec8or,,,,
ARS1OWB1187B99EEAD,0.479308459,0.717670525,,New York NY,,The New York Dolls,,,,
ARGMXQW1187FB54C34,0.427914247,0.669726188,-23.56287,Sao Paulo Brazil,-46.65466,Eliane Elias,,,,
AROEL1B1187B988B90,0.412240601,0.569741152,,South Jamaica Queens,,Lost Boyz,,,,
AR8W8DN1187FB35ED0,0.40439264,0.640048357,34.05349,Los Angeles CA,-118.24532,The Germs,,,,
ARUWLCL1187FB549B8,0.383475745,0.397772876,,,,Yamandu Costa,,,,
AR3793X1187FB50CB3,0.500691341,0.643182773,,Middlesbrough England,,Chris Rea,,,,
ARINEWW1187FB5577E,0.338414818,0.411421048,,,,Perrey And Kingsley,,,,
ARDGB6U1187FB3AD07,0.523699078,0.75100762,51.50632,London England,-0.12714,Eurythmics,,,,
AR2J2WF1187FB46271,0.383524247,0.54858513,54.48303,Egremont Cumbria England,-3.53444,Francis Dunnery,,,,
ARUI8651187B9ACF52,0.481655862,0.749317801,,Garnant Wales,,John Cale,,,,
AR89DTT1187B9A7ED5,0.380704536,0.631946666,37.77916,California - SF,-122.42005,Suzanne Ciani,,,,
ARMD0G81187B99A519,0.396855869,0.653937821,,,,Vickie Winans,,,,
AR0VZWC1187B99BA57,0.45755391,0.668370612,-37.81753,Melbourne Australia,144.96715,The Berzerker,,,,
ARF2EHS1187B994F4E,0.788805935,0.845768866,36.16778,Nashville Tennessee,-86.77836,Kings Of Leon,,,,
ARZKRD01187FB45FD2,0.30004649,0.407455644,,,,Edith Lefel,,,,
ARK4H5K1187B992F74,0.189314878,0.460171324,,,,Taras,,,,
AR06EB01187FB40150,0.554291489,0.778816717,,Berkeley CA,,NOFX,,,,
ARKPDBH1242077DEB1,0.26803784,0.435889847,,,,Murskahumppa,,,,
ARBJSO81187B9BA09B,0.466826993,0.711165787,,,,Soda Stereo,,,,
ARRC2JF1187B9B6A93,0.30045446,0.443162398,-24.9162,AUSTRALIA,133.39311,Bruce Rowland,,,,
ARNIFX51187FB418EA,0.266275286,0.400433513,,,,Xcultures,,,,
ARCCRTI11F4C845308,0.337507289,0.477364752,,,,White Heart,,,,
ARNVH8S1187FB52F86,0.36366811,0.617870116,18.11526,Jamaica West Indies,-77.27348,Heavy D / McGruff,,,,
ARNLO5S1187B9B80CC,0.579988982,0.744641246,,Pasadena CA,,Van Halen,,,,
ARTDQRC1187FB4EFD4,1.005941966,0.845601887,,Los Angeles CA,,Black Eyed Peas,,,,
ARK9TRQ1187B99C095,0.598458501,0.905776889,41.50471,Cleveland OH,-81.69074,Nine Inch Nails,,,,
ARODBRG1187FB3FD99,0.479407676,0.694021648,,,,Nick Cave & The Bad Seeds,,,,
ARMBYRO1187FB57419,0.139247394,0.408389022,,,,Nadine Renee,,,,
ARWY7I71187FB36C3D,0.389100776,0.606925359,40.71455,New York NY,-74.00712,Lesley Gore,,,,
AR6Y22S1187B99906F,0.322485106,0.562463784,,,,Smartbomb,,,,
ARI5P4N1187FB3F44D,0.335651839,0.481004583,,Minnesota,,Suburbs,,,,
ARYPWUK1187B98ACED,0.453391186,0.742963152,64.55653,Norway,12.66538,Emperor,,,,
ARW63KF1187B98AC48,0.364384924,0.58547954,46.71067,FR,1.71819,Julien Clerc,,,,
AR8H87D1187FB3A841,0.481024239,0.67159627,34.03142,Delight AR,-93.50243,Glen Campbell,,,,
ARLWR721187B9A03C9,0.343281882,0.449323615,35.82213,Humboldt TN,-88.91599,T.G. Sheppard,,,,
ARF4V431187FB3AA41,0.386669092,0.51644378,27.94653,Tampa FL,-82.45927,Slim Whitman,,,,
ARBGWMW1187B9AEA3E,0.538070295,0.728209707,,CA,,Savage Garden,,,,
AR6G4V01187B9AD086,0.552413346,0.798645179,,,,Queens Of The Stone Age,,,,
ARVQ4QM1187B98AD95,0.347598889,0.445854631,33.52029,Birmingham AL,-86.8115,Hank Penny & The Lincoln Penny Orchestra,,,,
AR9AM2N1187B9AD2F1,0.398547535,0.605109702,53.4796,Manchester England,-2.24881,Inspiral Carpets,,,,
AR9XEVF1187B99D017,0.421415103,0.454043995,,,,Borialis,,,,
ARCFOZ71187FB43A0D,0.404182207,0.543516131,,,,The Dirty Skirts,,,,
ARHFEBO11F50C4825A,0.313569343,0.42054585,,,,Flor Silvestre,,,,
AR107SB1187B9A79F9,0.148985481,0.373850623,,B������zu comme Superdupont ne connait qu&#039,un pa,,81dcdddfd5ad4a2397d6d83a477a2b07,,,
ARXWAQQ1187B9AE954,0.493566843,0.743129776,,Newark NJ,,Redman,,,,
ARL6XZC1187FB3936E,0.31781096,0.13818761,,,,Solistiyhtye Suomi,,,,
ARSDSMG1187B98CB59,0.331090126,0.416141022,40.71455,New York NY,-74.00712,Eddie Cantor,,,,
AR3WMW01187B9921F7,0.349192218,0.495559652,,,,Schizoid,,,,
AR3C3C01187B98E800,0.316354001,0.430538907,56.153,Aarhus Denmark,10.20452,Kai Winding,,,,
ARDD9UN1187B98D3A7,0.317833879,0.428375417,31.84666,Sicily Island LA,-91.657,Sonny Simmons,,,,
ARJGNV61187B98F3B5,0.345751247,0.545110951,,Tallahassee FL,,Mira,,,,
ARSVI4L1187B996181,0.277561738,0.483339422,,,,Citizen Kaned,,,,
ARVJ0JK1187B98C9C0,0.432011947,0.559278494,,,,The Brooklyn Tabernacle Choir,,,,
AR4PCIG1187B98D07D,0.325148571,0.438887475,36.16778,Nashville TN,-86.77836,Ellen McIlwaine,,,,
AR1RHCO1187B9AF0BF,0.414892612,0.57810363,37.77916,San Francisco CA,-122.42005,Vince Guaraldi / Bola Sete,,,,
AR1X2H01187B98CCF2,0.391585329,0.502453177,,Menilmontant France,,Maurice Chevalier,,,,
ARBQBZV1187B99D29E,0.384184258,0.541975108,,,,Carl Cox Vs Yousef,,,,
AR9ODB41187FB459B2,0.412671631,0.683719468,,SPRINGFIELD Virginia,,Organized Konfusion,,,,
ARF3GX71187FB3EB66,0.628246419,0.614870934,,Medicine Lodge KS,,Martina McBride,,,,
AR3PN3R1187FB4CEBD,0.374271174,0.626436382,18.01571,Kingston Jamaica,-76.79731,Horace Andy,,,,
ARYWCFZ11E2835CFDD,0.384146444,0.494681417,,,,Nazz,,,,
ARUT16P1187FB532A4,0.393215104,0.543866302,33.39847,Greenville MS,-91.03786,Tyrone Davis,,,,
AREOGMA1187B9908EF,0.405178359,0.567278871,37.77916,San Francisco CA,-122.42005,Hot Tuna,,,,
AR4ABL21187FB3913A,0.28404741,0.432386477,40.99471,Pennsylvania,-77.60454,Richard Burton,,,,
AR8YV1I1187FB45D2B,0.343185045,0.513829587,40.71455,New York NY,-74.00712,Rory Block,,,,
ARR9XGB1187B9912E6,0.601184942,0.790922848,,Philadelphia PA,,Boyz II Men,,,,
ARBKUS51187B98A3AC,0,0.45466819,35.4948,Dayton TN,-85.01235,Howard Armstrong,,,,
ARTB5PP1187FB523B7,0.422472423,0.657406765,41.88415,Chicago IL,-87.63241,Donny Hathaway,,,,
ARXFQDY1187B9AAF1E,0.335101425,0.45871209,,,,Miguel Gallardo,,,,
ARVEJ9M1187FB4DC44,0.437964733,0.652367864,,,,Les Ogres De Barback,,,,
ARTHEAP122BCFCD0B2,0.281284216,0.342440144,,,,DJ X-Change featuring DJ Joey A,,,,
ARQESNI1187FB511EE,0.33406579,0.49825931,38.8991,Washington DC,-77.029,Morel,,,,
ARCZ20M1187FB49687,0.403509673,0.624723768,32.77942,Goodwill LA,-91.56123,Tony Joe White,,,,
ARDF8K01187FB37200,0.566971566,0.79225559,,Sydney Australia,,Wolfmother,,,,
AR11NP91187B9901B4,0.372251208,0.573605491,,New York City,,The Roches,,,,
ARBZAIL1187FB5B1C8,0.326848818,0.555985053,42.31256,Boston MA,-71.08868,Bob Margolin,,,,
ARWXHRS1241B9C7A1E,0,0.42562724,,,,Thomas Battenstein,,,,
ARV1P811187FB3CFC6,0.363177861,0.662649695,,,,Jupiter Rising,,,,
ARIU0MA1187B98D36F,0.345809443,0.491921881,,,,Dharma Bums,,,,
ARB4D891187B9954F7,0.318902078,0.594779904,,,,Saafir,,,,
ARQOC971187B9910FA,0.498395338,0.70334944,42.73383,Lansing MI,-84.59334,The Verve Pipe,,,,
AR19SOA1187B98F6E6,0.301502462,0.434272037,40.71455,New York,-74.00712,Bob Neuwirth,,,,
ARTDBI61187FB48479,0.459665457,0.733714696,42.99671,Grand Rapids MI,-85.59012,Marvin Sapp,,,,
ARSE6YI1187B9B9CD2,0.431526919,0.625443262,30.2676,Austin,-97.74298,James Hunter,,,,
AR6C8EJ1187FB3F473,0.32188269,0.498663649,, Ub�����,,Nelson Ned,,,,
AROI96Z1187B9A5304,0.351210537,0.505644262,,,,Mish Mash,,,,
ARIOSKN1257509BCE1,0.273453727,0.406187449,,,,Cama,,,,
ARI0PUX1187FB3F215,0.446890727,0.661001337,54.31392,Great Britain / UK,-2.23218,Maxi Priest,,,,
ARYO9BU1187B9ADA88,0.507965802,0.830252262,,,,Porcupine Tree,,,,
ARZ507V1187FB4425E,0.424931835,0.554226467,,,,Ragheb Alama,,,,
AR6XPWV1187B9ADAEB,0.550762085,0.839275393,,Seattle WA,,Foo Fighters,,,,
AR6PJ8R1187FB5AD70,0.682263177,0.833178561,,Barranquilla Colombia,,Shakira Featuring Wyclef Jean,,,,
AR4CG3B1187FB5B861,0.42251494,0.574973901,,California - SF,,The Avengers,,,,
AR7BMMV1187FB5B2D7,0.383877494,0.604820432,39.15093,Ukiah CA,-123.2079,Robben Ford,,,,
AREYIHC1187B99CE0B,0.339408486,0.378013152,,,,Brazilian Tropical Orchestra,,,,
AREEMIN11F4C848971,0.382869956,0.441593442,52.1082,Netherlands,5.32986,Gil Semedo,,,,
ARBJSO81187B9BA09B,0.466826993,0.711165787,,,,Soda Stereo,,,,
ARBGJLS11F4C83D4B9,0.32138373,0.4621406,,,,Xmilk,,,,
ARVNDLR1187B99CA1B,0.3370893,0.471577282,35.30914,Oklahoma,-98.52102,Dolce,693634bc3631216c84ba92de172677de,,,
AR5LZJD1187FB4C5E5,0.544446277,0.669500125,35.66693, NC,-80.46935,Britt Nicole,,,,
AR3WMW01187B9921F7,0.349192218,0.495559652,,,,Schizoid,,,,
ARAEX7Y1187FB42D36,0.555968804,0.737972528,,Severn MD,,Toni Braxton Featuring Shaggy,,,,
ARK2G5U1187FB46B34,0.350327605,0.530605798,,,,Perrey And Kingsley,,,,
ARTB56G11C8A41569D,0.306603641,0.480047819,,,,Sven Tasnadi,,,,
AR0GGKI1187FB391D5,0.362238747,0.622684167,,,,Eddie,,,,
ARZEWUR1187FB53DC8,0.395709548,0.593416049,50.45663,Belgica -- Namur Namur/Ghent East Flanders,4.87137,Enthroned,,,,
AR89DTT1187B9A7ED5,0.380704536,0.631946666,37.77916,California - SF,-122.42005,Suzanne Ciani,,,,
ARTHKKA122BCFCBF58,0,0.20107756,,,,Milan Band,,,,
ARJDMBO1187B9AD118,0.409134869,0.618765785,,,,Johnny Osbourne,,,,
ARYJSY01187B9B7C65,0.603876487,0.707335681,,Locust Ridge TN,,Dolly Parton,,,,
AR77FBJ1187FB49D8D,0.31401179,0.488008882,42.33168,Detroit MI,-83.04792,Rance Allen Group,,,,
ARFVYJI1187B9B8E13,0.60797181,0.81444811,47.60356,Seattle WA,-122.32944,Pearl Jam,,,,
ARBM4TC1187FB5CE98,0.507781667,0.69044755,,Los Angeles CA,,Natalie Cole,,,,
ARMQHX71187B9890D3,0.574274731,0.780461749,,Atlanta GA,,Mastodon,,,,
ARYXJ5A1187B9B9E56,0.433945514,0.605874049,36.69094,Jerez De La Frontera (C��,-6.13487,Kiril Valeri,,,,
ARULHJM1187B997004,0.246340714,0.638880206,,,,Word,,,,
AROTIMO1187FB532BF,0.413393911,0.712098902,,Compton CA,,DJ Quik,,,,
AR0X3JJ1187FB3A9A7,0.379436972,0.635757022,,McLellan FL,,Hank Locklin,,,,
AR035N21187FB3938E,0.512226738,0.786427083,34.23294,Earth,-102.4102,BT,,,,
ARA0H5U1187FB47949,0.426944256,0.622829997,,,,2-4 Grooves feat. Reki D.,,,,
AR358YS1187FB44A29,0.283562596,0.382308283,37.20897,Springfield MO,-93.29156,The Jordanaires,,,,
ARANOZN1187B9B373E,0.476559379,0.727230315,,Los Angeles CA,,Descendents,,,,
ARHONG11187FB3B120,0.456940558,0.665728336,29.78772,katy,-95.82333,L.A. Guns,,,,
ARRA2F91187B9B4061,0.360583582,0.53938059,,,,Bare Jr.,,,,
ARSGZ3J1187FB3E610,0.370194701,0.075124762,34.01156,Santa Monica CA,-118.49229,Shelley Fabares,,,,
ARMQ32V1187B9999F3,0.250601286,0.312415123,52.88356,England,-1.97406,Norrie Paramor,,,,
AR8EDG51187FB41A08,0.389765518,0.524700041,,,,Gary Hobbs,,,,
AR1GYND1187B9A9CD3,0.376688631,0.567814264,38.43773,Santa Rosa California,-122.71242,Diesel Boy,,,,
AR1PCLK1187FB5BBFF,0.399451724,0.698770478,40.14323,New Jersey,-74.72671,Angelo Badalamenti,,,,
ARF0W6Z1187B9AC325,0.572583336,0.784820389,,,,Cradle Of Filth,,,,
ARWGIOC1187FB4CBEF,0.361509802,0.520204911,37.16793,United States,-95.84502,Jim Chappell,,,,
ARZHLNX1187FB4B8E7,0.220050765,0.479695608,40.71455,NY - New York City,-74.00712,Ladybug,,,,
ARC25S11187B993923,0.327858925,0.463087254,,,,Bandido,,,,
ARKE8PP1187B997DD4,0,0.515611096,,,,Brixx,,,,
ARK9TRQ1187B99C095,0.598458501,0.905776889,41.50471,Cleveland OH,-81.69074,Nine Inch Nails,,,,
ARGTUWC1187B9904A0,0.297949266,0.352212817,,,,Susana Seivane,,,,
ARFS01P1187B9A395A,0.272190152,0.385143351,42.17963,Blandford MA,-72.92483,Leland Martin,,,,
ARGWIHH1187B9A79B0,0.373464228,0.682045692,,,,Test Icicles,,,,
AR5MK521187B98E0B8,0.461558452,0.630928608,51.50632,London England,-0.12714,Heaven 17,,,,
ARU22AM1187B9961EA,0.247340584,0.485107918,,,,React,,,,
ARTB56G11C8A41569D,0.306603641,0.480047819,,,,Sven Tasnadi,,,,
AR93RTI1187B98ECFB,0.33238987,0.450852685,30.38815,Navasota TX,-96.0878,Mance Lipscomb,,,,
AR9AN471187B99E0DA,0.342406391,0.497307512,33.74831,Atlanta Georgia USA,-84.39111,Scott Wesley Brown,,,,
ARAR4YH1187B98BF2A,0.29547099,0.424278927,,,,Fl����,,,,
AR567PN1187FB4B4F2,0.389535576,0.602555589,,,,Moss,,,,
ARYKF861187B99C74B,0.312131221,0.385417447,,,,Pery Ribeiro,,,,
AR4K59J1187FB3759B,0.276702625,0.539181188,44.11559,Oregon,-120.51484,Soular,,,,
ARLSF8H1187B9A76B0,0.599602643,0.826075467,,Oslo Norway,,Dimmu Borgir,,,,
ARDG9Z71187B997023,0.415517083,0.684994897,51.50632,London England,-0.12714,Public Image Ltd,,,,
AR56P361187B9AC4DB,0.467110649,0.761362238,54.5958,Belfast Northern Ireland,-5.93494,Gary Moore,,,,
ARDDHGI126E2B3AA76,0,0.464481282,,,,Pascal Sangla,,,,
ARVML631187B99E90D,0.537537201,0.681598553,,Athens GA,,The B-52's,,,,
ARBKMHZ11F4C843491,0,0.336970428,,,,Dakis,,,,
ARD3LXU1187B9ABFC5,0.549204384,0.73118423,,,,Sex Pistols,,,,
ARXOTQH1187FB57084,0.852186238,0.892688611,,Fairfax California,,Chris Brown,,,,
ARMG6K31187FB55677,0,0.332330882,,,,Deekline & Wizard,,,,
ARFUSID1241B9C9462,0,0.349012002,44.41033,Genova,8.93889,Daniela Dess�,,,,
ARC6UC81187B989062,0.453435791,0.632242851,40.71455,NY - New York City,-74.00712,Hem,,,,
ARKZJ301187FB521B2,0.535408379,0.916058238,,LDN,,Lily Allen,,,,
ARVKAWO11F50C47C9A,0.333649141,0.547078569,,,,Pentangle,,,,
ARHXBJI1241B9C8B7F,0.313989733,0.392570166,,,,DJ Dips,,,,
ARTFLEU1269FCD1FE3,0.305074262,0.326699728,,,,Ana Bekuta,,,,
AR0LVFQ1187B9A84E0,0.371760895,0.458055179,40.71455,NY - New York City,-74.00712,Jason Miles,,,,
ARU9KWP1187B98B2A7,0.349476327,0.618002715,,,,Busdriver,,,,
ARZ05QG1187FB3843E,0.36228409,0.465194733,31.55379,Monticello MS,-90.10785,Byther Smith,,,,
ARTEGHH1187FB435C8,0.351624469,0.483703807,,,,Bebo & Cigala,,,,
ARASSX21187FB528B7,0.354725755,0.633817882,52.8029,Stafford England,-2.10633,Bizarre Inc,,,,
ARRH2S81187B98C8AA,0.446071584,0.574400789,43.07295,Madison Wisconsin,-89.38669,Bongzilla,,,,
ARSF4161187B9B449F,0.353000688,0.44104996,,,,The Gone Jackals,,,,
AR87OXB1187FB39E0B,0.173067999,0.334628878,,,,The Willis Brothers,,,,
ARCLCFS1187B9AE476,0.341904574,0.560411686,-23.56287,Sao Paulo Brazil,-46.65466,Laurindo Almeida / Carlos Barbosa-Lima / Charlie Byrd,,,,
ARWAPYC1187FB3FCAF,0.27238546,0.406166635,,,,S.U.P,,,,
ARILV5E1187B9959C8,0.365339653,0.62799739,,,,Boogie Pimps,,,,
ARHSAFX1187B98E89A,0.3008559,0.453171007,31.1689,Texas,-100.07715,Brian Keane,,,,
ARGR9FY1187FB4D0E7,0.343275661,0.583773265,,Poza Rica MX,,Aberdeen,,,,
ARVG4OK1187B9B6BD3,0.819588282,0.918451789,,,,The Killers,,,,
ARGCY1Y1187B9A4FA5,0.47722519,0.73699197,36.16778,Nashville TN.,-86.77836,Gloriana,,,,
ARYFROT1187B9B78C2,0.366743932,0.511000944,,,,Butterfly Temple,,,,
ARIN12F1187FB3E92C,0.317248425,0.422971308,30.24216,PEARLINGTON Mississippi,-89.60586,Grant Geissman,,,,
ARMZ4PD1187B9ACBCD,0.314882184,0.50039601,,,,20/20,,,,
AR0CWSC1187B9AFE3F,0.322468154,0.429544942,,,,Jos����,,,,
ARD5K161187B9AC784,0.498668875,0.693009204,51.27562,Sevenoaks United Kingdom,0.17898,Orbital,,,,
ARUZRFN1187B98AC05,0.555138322,0.81592342,,Cleveland OH,,Bone Thugs-N-Harmony / Akon,,,,
ARSTH0R1187B98951E,0.442652003,0.646618529,,,,Moonsorrow,,,,
ARSL5SP1187B9A7AE0,0.52040786,0.747708669,34.05349,Compton California USA.,-118.24532,N.W.A.,,,,
ARCE0H01187B9AF741,0.5890868,0.783458021,,Los Angeles CA,,Rage Against The Machine,,,,
ARW4AGO1187FB4F107,0.282286406,0.362800142,33.45081,Indianola MS,-90.645,Jazz Gillum,,,,
ARZWK2R1187B98F09F,0.625080481,0.847081688,,Chicago,,Rise Against,,,,
ARDOOH01187B991055,0.37444943,0.499939221,,,,Ultraviolence,,,,
ARMBTFC1187FB56343,0.558298348,0.829135422,,Bakersfield CA,,Korn,,,,
ARBH0MS1187FB36311,0.353034056,0.430024987,,,,Sir Neville Marriner,,,,
ARTXEZN1187B9B8190,0.441355562,0.737540403,62.19845,Sweden,17.55142,Agnes,,,,
ARBM57Q1187B9AF97C,0.491828704,0.679519208,34.05349,Los Angeles CA,-118.24532,James Horner,,,,
ARED2DG1187FB3CB4D,0.467133519,0.720808697,,,,Tantric,,,,
ARMQHX71187B9890D3,0.574274731,0.780461749,,Atlanta GA,,Mastodon,,,,
ARNIFX51187FB418EA,0.266275286,0.400433513,,,,Xcultures,,,,
AREW1KO1187B98E42E,0.374862616,0.599019959,,,,The Irish Tenors,,,,
ARUJ5A41187FB3F5F1,0.750311503,0.843526543,,Dublin Ireland,,U2,,,,
ARE2BVT1187B9AC9A2,0.292801539,0.454709911,,,,Little Joe,,,,
ARMBTFC1187FB56343,0.558298348,0.829135422,,Bakersfield CA,,Korn,,,,
AR97EHA1187B98AD5F,0.351345077,0.521712214,30.33138,Jacksonville FL,-81.6558,Blind Blake & The Royal Victoria Hotel Calypsos,,,,
ARFTMGO1187B9A777A,0.388112774,0.566796475,43.64856,Toronto Ontario Canada,-79.38533,Percy Faith,,,,
AR5J8XN1187B9B712E,0.497711444,0.717991695,,,,Extreme,,,,
AR4B3RX1187B9A868A,0.560380805,0.609816403,,,,Alexandre Desplat,,,,
ARE1N571187B98A47D,0.37425994,0.621213511,51.50632,London,-0.12714,Prozak,,,,
AR8XG9J1187FB418C1,0.389589781,0.589259678,33.54243,Sunflower MS,-90.53727,Jerry Butler,,,,
ARHSS201187B98A8CC,0.295889812,0.411875463,,,,Yvette Horner,,,,
AR02PUA1187FB52574,0.409550595,0.586000058,,,,Delta 9,,,,
AR6892W1187B9AC71B,0.586433379,0.804523521,,London England,,Placebo,,,,
ARGNGRI11E2835D567,0.316692162,0.515044056,,,,Tam Tam Go!,,,,
ARQDYV0119B866800F,0.344814469,0.444926413,,,,Gertrudis,,,,
ARN5W1B1187B98BE10,0.413237884,0.588370653,,,,Warrior King,,,,
ARBJSO81187B9BA09B,0.466826993,0.711165787,,,,Soda Stereo,,,,
ARETCTY1187FB4C033,0.394127577,0.510794577,,,,LORE,,,,
ARQXR6R1187FB46FD6,0.466775622,0.690080124,,Minneapolis MN,,Soul Asylum,,,,
ARP8TSJ1187FB54852,0.292656454,0.342558954,,,,Carl Doy with NZSO,,,,
AR3PN3R1187FB4CEBD,0.374271174,0.626436382,18.01571,Kingston Jamaica,-76.79731,Horace Andy,,,,
ARQGYP71187FB44566,0.291539727,0.39413854,34.31109,Mineola AR,-94.02978,Jimmy Wakely,,,,
ARHVU591187B99F46A,0.244243643,0.341937434,,,,The Nightraver & The Magican,,,,
ARV2V751187FB4330F,0.411448143,0.583231605,40.14323,New Jersey,-74.72671,Rah Digga (Featuring Outsidaz),,,,
ARX9YIP1187B98A656,0.606630152,0.686988955,,,,RUN-DMC,,,,
ARPPURC1187B990FB7,0.367639871,0.386291901,,,,Bert Kaempfert And His Orchestra,,,,
AR0X3JJ1187FB3A9A7,0.379436972,0.635757022,,McLellan FL,,Hank Locklin,,,,
ARYECMK1187FB5C081,0.283699176,0.418610662,,Windhoek,,Lady May,,,,
AR74Q3R1187B9B24C3,0.593624366,0.808784962,,Kitee Finland,,Nightwish,,,,
AR1PCLK1187FB5BBFF,0.399451724,0.698770478,40.14323,New Jersey,-74.72671,Angelo Badalamenti,,,,
AR0G47L1187B98CC6D,0.346357522,0.446256667,50.91552,Battle Sussex England,0.48883,Frank Chacksfield,,,,
ARKUP6H1187FB3F8E3,0.317504856,0.332148785,,,,Cesar Camargo Mariano/Helio Delmiro,,,,
ARHRP6Q1187FB3F016,0.378498493,0.473626728,43.04181,Milwaukee WI,-87.90684,Buzzhorn,,,,
AR10USD1187B99F3F1,0.605507136,0.80113645,,Burlington Ontario Canada,,Silverstein,,,,
